id,description
1,Coffee
2,Housewares
3,Sweets
4,Meat
5,Eggs
6,Coffee
7,Sweets
8,Baby-care
9,Ground turkey
10,Baby-care
11,Brown rice
12,Personal hygiene
13,Cosmetics
14,Vegetables
15,Bottled waters
16,Brown rice
17,Cereals
18,Diet foods
19,Frozen foods
20,Chicken
21,Vegetables
22,Salmon
23,Seafood
24,Cheese
25,Pet foods
26,Poultry
27,Flowers
28,Cereals
29,Olive oil
30,Nonalcoholic beverages
31,Snack foods
32,Olive oil
33,Seafood
34,Pet foods
35,Medicines
36,Sauces
37,Flour
38,Cosmetics
39,Brown rice
40,Baby food
41,Alcoholic beverages
42,Paper Goods
43,Bottled waters
44,Toys
45,Candies
46,Olive oil
47,Dishware
48,Personal Care
49,Sauces
50,Flowers
51,Flour
52,Personal hygiene
53,Baby-care
54,Diet foods
55,Bakery products
56,Salmon
57,Baby food
58,Canned Goods
59,Bottled waters
60,White rice
61,Cosmetics
62,Cheese
63,Hygiene products
64,Grooming products
65,Sweets
66,Poultry
67,Bottled waters
68,Cereals
69,Coffee
70,Fish
71,Condiments
72,Seafood
73,Dry Goods
74,Cheese
75,Personal hygiene
76,Fish
77,Paper Goods
78,Personal hygiene
79,Tea
80,Personal hygiene
81,Bread
82,Seafood
83,Hygiene products
84,Sweets
85,Fish
86,Paper Goods
87,Salmon
88,Personal Care
89,Personal Care
90,Flour
91,Personal hygiene
92,Flour
93,Bread
94,Dry Goods
95,Housewares
96,Baby-care
97,White rice
98,Condiments
99,Flowers
100,Hygiene products
101,Tomato sauce
102,Tomato sauce
103,Frozen foods
104,Detergents
105,Paper Goods
106,White rice
107,Canned Goods
108,Vegetables
109,Fruits
110,Personal hygiene
111,Cheese
112,Personal Care
113,Nonalcoholic beverages
114,Pet foods
115,Pasta
116,Frozen foods
117,Eggs
118,Condiments
119,Condiments
120,Baby food
121,Candies
122,Coffee
123,Poultry
124,Personal hygiene
125,Canned Goods
126,Mustard
127,Cheese
128,Canned Goods
129,Mustard
130,Seafood
131,Toys
132,Nonalcoholic beverages
133,Nonalcoholic beverages
134,Seafood
135,Personal Care
136,Fish
137,Seafood
138,Tomato sauce
139,Baby food
140,Toys
141,Paper Goods
142,Pet foods
143,Alcoholic beverages
144,Bakery products
145,Sweets
146,Dishware
147,Candies
148,Eggs
149,Coffee
150,Candies
151,Dairy
152,Fruits
153,Canned Goods
154,Toys
155,Personal Care
156,Seafood
157,Dry Goods
158,Candies
159,Detergents
160,Seafood
161,Dry Goods
162,Frozen foods
163,House-cleaning products
164,Cheese
165,Medicines
166,Personal Care
167,Vegetables
168,Flowers
169,Bakery products
170,Grooming products
171,Sauces
172,Sweets
173,Hygiene products
174,Seafood
175,Seafood
176,Toys
177,Brown rice
178,Alcoholic beverages
179,Sauces
180,Hygiene products
181,Dishware
182,Alcoholic beverages
183,Tea
184,Tomato sauce
185,Frozen foods
186,Coffee
187,Nonalcoholic beverages
188,Housewares
189,Paper Goods
190,Pasta
191,Grooming products
192,Sweets
193,Meat
194,Paper Goods
195,Snack foods
196,Decorations
197,Paper Goods
198,Condiments
199,Seafood
200,Snack foods
201,Sauces
202,Fruits
203,Diet foods
204,Chicken
205,Meat
206,Bread
207,Condiments
208,Pet foods
209,Housewares
210,Paper Goods
211,Baby food
212,Bread
213,Eggs
214,Hygiene products
215,White rice
216,Bread
217,Personal Care
218,Dishware
219,Sweets
220,Baby food
221,Ground turkey
222,Meat
223,Bread
224,Eggs
225,Canned Goods
226,Diet foods
227,Alcoholic beverages
228,Snack foods
229,Bakery products
230,Chicken
231,Alcoholic beverages
232,Bakery products
233,Cereals
234,Dairy
235,Tea
236,Tea
237,Nonalcoholic beverages
238,Meat
239,Detergents
240,Meat
241,Detergents
242,Salmon
243,Frozen foods
244,Frozen foods
245,Olive oil
246,Fruits
247,Hygiene products
248,Decorations
249,Hygiene products
250,Toys
251,Bottled waters
252,Toys
253,Snack foods
254,Brown rice
255,Ground turkey
256,Toys
257,Bakery products
258,Tomato sauce
259,Chicken
260,Flour
261,Detergents
262,Sweets
263,Coffee
264,House-cleaning products
265,White rice
266,Hygiene products
267,Housewares
268,Candies
269,Pet foods
270,Frozen foods
271,Cheese
272,Diet foods
273,Meat
274,Alcoholic beverages
275,Canned Goods
276,Dairy
277,Dry Goods
278,Condiments
279,Grooming products
280,Decorations
281,Grooming products
282,Personal Care
283,Brown rice
284,Pasta
285,Medicines
286,Brown rice
287,Decorations
288,Housewares
289,Alcoholic beverages
290,Coffee
291,Seafood
292,Seafood
293,Tomato sauce
294,Alcoholic beverages
295,Tea
296,Fruits
297,Dairy
298,Detergents
299,Coffee
300,Flour
301,Diet foods
302,Personal Care
303,Olive oil
304,Bakery products
305,Dishware
306,Detergents
307,Ground turkey
308,Pasta
309,Fruits
310,Salmon
311,Snack foods
312,Chicken
313,Pasta
314,Baby food
315,Alcoholic beverages
316,Personal hygiene
317,Sauces
318,Seafood
319,Bottled waters
320,Condiments
321,Nonalcoholic beverages
322,Canned Goods
323,Poultry
324,Bakery products
325,Sauces
326,Dry Goods
327,Toys
328,Housewares
329,Sauces
330,Decorations
331,Frozen foods
332,Tea
333,House-cleaning products
334,Salmon
335,Cereals
336,Baby food
337,Housewares
338,Baby-care
339,Vegetables
340,Coffee
341,Pasta
342,Personal hygiene
343,Brown rice
344,Mustard
345,Vegetables
346,Paper Goods
347,Detergents
348,Toys
349,Canned Goods
350,Cheese
351,Personal Care
352,Cereals
353,Pasta
354,Poultry
355,Housewares
356,Diet foods
357,Condiments
358,Bakery products
359,Mustard
360,Poultry
361,Snack foods
362,Dry Goods
363,Nonalcoholic beverages
364,Paper Goods
365,Sauces
366,House-cleaning products
367,Cereals
368,Nonalcoholic beverages
369,Poultry
370,Pasta
371,Bakery products
372,Housewares
373,Hygiene products
374,Personal Care
375,Flowers
376,Diet foods
377,Paper Goods
378,Cereals
379,Paper Goods
380,Cheese
381,Mustard
382,Canned Goods
383,Housewares
384,Paper Goods
385,Cheese
386,Ground turkey
387,Condiments
388,Housewares
389,Condiments
390,Tomato sauce
391,Salmon
392,Tea
393,Paper Goods
394,Cheese
395,Ground turkey
396,White rice
397,Flowers
398,Housewares
399,Decorations
400,Mustard
401,Diet foods
402,Eggs
403,White rice
404,Diet foods
405,Toys
406,Baby food
407,Salmon
408,Cosmetics
409,Baby-care
410,Medicines
411,Frozen foods
412,Bread
413,Vegetables
414,Fish
415,Cereals
416,Snack foods
417,Bakery products
418,Meat
419,Chicken
420,Cosmetics
421,White rice
422,Fruits
423,Baby food
424,Condiments
425,Snack foods
426,Cosmetics
427,Grooming products
428,Baby-care
429,Nonalcoholic beverages
430,Personal hygiene
431,Eggs
432,Vegetables
433,Brown rice
434,Seafood
435,Baby food
436,Personal Care
437,Snack foods
438,Grooming products
439,Dishware
440,Flour
441,Seafood
442,Meat
443,Snack foods
444,Decorations
445,Tomato sauce
446,Bread
447,Poultry
448,Brown rice
449,Bottled waters
450,Cereals
451,Pet foods
452,Mustard
453,House-cleaning products
454,Baby food
455,Cereals
456,Fish
457,Medicines
458,Fruits
