ID,description
1,Zurich
2,Charlotte
3,Philadelphia
4,Chicago
5,Innsbruck
6,Salem
7,Minneapolis
8,Lisbon
9,Fremont
10,Irving
11,Norfolk
12,Salt Lake City
13,Arlington
14,Bucharest
15,Huntsville
16,Springfield
17,Springfield
18,Chicago
19,Louisville
20,Toledo
21,Laredo
22,Santa Ana
23,Escondido
24,San Diego
25,Miami
26,Long Beach
27,Boston
28,Glendale
29,Bakersfield
30,Boston
31,Bakersfield
32,Boston
33,Santa Ana
34,Ontario
35,Lyon
36,Saint Paul
37,Las Vegas
38,San Jose
39,Seattle
40,Seattle
41,Fremont
42,Tulsa
43,Albuquerque
44,Berna
45,Denver
46,Jersey City
47,Salem
48,Jersey City
49,San Jose
50,Huntsville
51,Columbus
52,Ontario
53,London
54,Ontario
55,Madrid
56,San Diego
57,Fremont
58,St. Louis
59,Milwaukee
60,Berlin
61,Lisbon
62,Atlanta
63,Huntsville
64,Louisville
65,Omaha
66,Houston
67,Washington
68,Paris
69,Norfolk
70,Long Beach
71,Miami
72,Milwaukee
73,Salt Lake City
74,Tokyo
75,Orlando
76,Anaheim
77,Worcester
78,Glendale
79,Louisville
80,Kansas City
81,Salt Lake City
82,Fullerton
83,Berna
84,Laredo
85,Lancaster
86,Lisbon
87,Portland
88,Reno
89,Pittsburgh
90,Orlando
91,Las Vegas
92,Irving
93,San Francisco
94,Orlando
95,Zurich
96,Fort Lauderdale
97,Anaheim
98,Baltimore
99,El Paso
100,Madrid
101,Huntsville
102,Tokyo
103,Tallahassee
104,Fayetteville
105,Madison
106,Worcester
107,Norfolk
108,Minneapolis
109,Lancaster
110,Jacksonville
111,Hollywood
112,Santa Ana
113,Honolulu
114,Portland
115,San Antonio
116,Wien
117,Wien
118,Moreno Valley
119,San Antonio
120,Tulsa
121,Huntsville
122,Columbus
123,Milano
124,Murfreesboro
125,Seattle
126,Santa Ana
127,Irving
128,Dallas
129,Otawa
130,Long Beach
131,Bucharest
132,Colorado Springs
133,Venice
134,Lisbon
135,Tallahassee
136,Wien
137,Pittsburgh
138,London
139,Otawa
140,Tokyo
141,Tokyo
142,Milano
143,Bakersfield
144,Charlotte
145,Madison
146,Laredo
147,Jacksonville
148,New Orleans
149,Sacramento
150,Escondido
151,Fayetteville
152,Lakewood
153,Hollywood
154,Minneapolis
155,Miami
156,Washington
157,Tulsa
158,Moreno Valley
159,Otawa
160,Pittsburgh
161,New York
162,Long Beach
163,Bridgeport
164,Escondido
165,Jacksonville
166,Kansas City
167,Glendale
168,Philadelphia
169,San Diego
170,Prague
171,London
172,Pittsburgh
173,Lincoln
174,Jacksonville
175,Atlanta
176,Berna
177,Oklahoma City
178,Worcester
179,Tokyo
180,Kansas City
181,Lyon
182,Fort Lauderdale
183,Hollywood
184,Louisville
185,Memphis
186,Henderson
187,Santa Ana
188,Lancaster
189,Worcester
190,Venice
191,Murfreesboro
192,Huntsville
193,Phoenix
194,Lyon
195,Fort Lauderdale
196,Reno
197,Detroit
198,San Antonio
199,Denver
200,Tallahassee
201,Long Beach
202,Berlin
203,Hollywood
204,Charlotte
205,New York
206,London
207,Hayward
208,Albuquerque
209,Glendale
210,Quebec
211,Hayward
212,Las Vegas
213,Reno
214,Atlanta
215,Phoenix
216,Jacksonville
217,Minneapolis
218,Innsbruck
219,Milwaukee
220,Bridgeport
221,Louisville
222,Salem
223,Garland
224,Columbus
225,Albuquerque
226,Miami
227,Quebec
228,Tokyo
229,Dallas
230,Colorado Springs
231,Columbus
232,Otawa
233,Springfield
234,Jacksonville
235,Philadelphia
236,Salt Lake City
237,Richmond
238,Wien
239,Oklahoma City
240,Lakewood
241,Nashville
242,Worcester
243,Jacksonville
244,Omaha
245,Fort Lauderdale
246,Tulsa
247,Albuquerque
248,Paris
249,Long Beach
250,San Francisco
251,Seattle
252,Columbus
253,Colorado Springs
254,Atlanta
255,San Bernardino
256,Salt Lake City
257,Anaheim
258,London
259,Oakland
260,Miami
261,Seattle
262,Jacksonville
263,Worcester
264,Wien
265,San Jose
266,Stockton
